User,Tweet,Time,Location,Tweet-url
Donald J. Trump,GREAT GDP numbers just released. Will be having a news conference soon!,Fri Jul 27 13:17:09 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022833271040815104
Donald J. Trump,".@JohnJamesMI, who is running in the Republican Primary in the great state of Michigan, is SPECTACULAR! Vote on August 7th. Rarely have I seen a candidate with such great potential. West Point graduate, successful businessman and a African American leader...",Fri Jul 27 15:53:20 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022872574634729472
Donald J. Trump,"...John is strong on crime and borders, loves our Military, our Vets and our Second Amendment. He will be a star. He has my full and total Endorsement!",Fri Jul 27 15:53:20 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022872576211730432
Donald J. Trump,".@Troy_Balderson of Ohio is running for Congress - so important to the Republican Party. Cast you early vote or vote on August 7th. Troy is strong on crime and borders, loves our Military, our Vets and our Second Amendment. He has my full and total Endorsement!",Fri Jul 27 15:58:45 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022873937561243649
Donald J. Trump,"I am thrilled to announce that in the second quarter of this year, the U.S. Economy grew at the amazing rate of 4.1%! https://t.co/xeAPwAAOXN",Fri Jul 27 16:12:14 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022877332858650624
Donald J. Trump,We have accomplished an economic turnaround of HISTORIC proportions! https://t.co/vnmMtPv0kk,Fri Jul 27 16:20:37 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022879441767288834
Donald J. Trump,"The @USNavy’s first female Admiral, Alene Duerk once said: “It was a nice distinction to have, and to be recognized as the first, but I wanted to make certain that I used that notoriety to do as much positive as I could.” Alene did just that, and America is forever grateful! https://t.co/tOqkzqGVG7",Fri Jul 27 18:16:46 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022908672756801536
Donald J. Trump,"Private business investment has surged from 1.8 percent the year BEFORE I came into office to 9.4 percent this year -- that means JOBS, JOBS, JOBS! https://t.co/evO63CpqPP",Fri Jul 27 19:23:07 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022925366669856769
Donald J. Trump,"Congressman David Kustoff has been a champion for the Trump Agenda - I greatly appreciate his support. David is strong on crime and borders, loves our Military, Vets and Second Amendment. Get out and vote for David on Thursday, August 2nd. He has my full and total Endorsement!",Fri Jul 27 20:08:06 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022936690267176971
Donald J. Trump,"Democrats, who want Open Borders and care little about Crime, are incompetent, but they have the Fake News Media almost totally on their side!",Fri Jul 27 22:45:56 +0000 2018,,https://twitter.com/realDonaldTrump/status/1022976410745495552
Donald J. Trump,"The only things the Democrats do well is “Resist,” which is their campaign slogan, and “Obstruct.” Cryin’ Chuck Schumer has almost 400 great American people that are waiting “forever” to serve our Country! A total disgrace. Mitch M should not let them go home until all approved!",Sat Jul 28 00:47:58 +0000 2018,,https://twitter.com/realDonaldTrump/status/1023007120130760704
Donald J. Trump,"Join me in Tampa, Florida next Tuesday, July 31st at 7:00pmE for a #MAGA Rally! Tickets: https://t.co/Q2PMyTACl8 https://t.co/URjvN8Owoe",Sat Jul 28 01:53:48 +0000 2018,,https://twitter.com/realDonaldTrump/status/1023023685681250304
Donald J. Trump,https://t.co/E3xvdUGZqa,Sat Jul 28 16:37:29 +0000 2018,,https://twitter.com/realDonaldTrump/status/1023246073060634626
